Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.81915312912315 s
Iteration 1: 40.331364296376705 s
Iteration 2: 40.42670664470643 s
Iteration 3: 40.668217120692134 s
Iteration 4: 41.53600587230176 s
Iteration 5: 41.25332710985094 s
Iteration 6: 41.84067965392023 s
Iteration 7: 42.017704559490085 s
Iteration 8: 42.46356709301472 s
Iteration 9: 42.849655620753765 s
Iteration 10: 43.18142432812601 s
Iteration 11: 43.236852899193764 s
Iteration 12: 43.87387133017182 s
Iteration 13: 44.298268497921526 s
Iteration 14: 44.28534594271332 s
Iteration 15: 44.634551245719194 s
Iteration 16: 45.04701279476285 s
Iteration 17: 45.30828486941755 s
Iteration 18: 45.82411609776318 s
Iteration 19: 46.08637622278184 s
Iteration 20: 46.15713291335851 s
Iteration 21: 46.814111629500985 s
Iteration 22: 47.1253278227523 s
Iteration 23: 47.420981978066266 s
Iteration 24: 48.06988911610097 s
Iteration 25: 47.78367169667035 s
Iteration 26: 48.72580163460225 s
Iteration 27: 48.2956349151209 s
Iteration 28: 48.887534603476524 s
Iteration 29: 49.50521204806864 s
Iteration 30: 49.65441794320941 s
Iteration 31: 50.09781869966537 s
Iteration 32: 50.03166764508933 s
Iteration 33: 51.01453331299126 s
Iteration 34: 50.96801012381911 s
Iteration 35: 51.11260023154318 s
Iteration 36: 51.69632164388895 s
Iteration 37: 51.77872612327337 s
Iteration 38: 52.43944439198822 s
Iteration 39: 52.535192077979445 s
Iteration 40: 53.250330231152475 s
Iteration 41: 53.444532262161374 s
Iteration 42: 53.60821740888059 s
Iteration 43: 53.845372629351914 s
Iteration 44: 54.481642006896436 s
Iteration 45: 54.62467088364065 s
Iteration 46: 55.21984778344631 s
Iteration 47: 54.98528691753745 s
Iteration 48: 55.78166741784662 s
Iteration 49: 55.71103929635137 s
Iteration 50: 55.96112052351236 s
Iteration 51: 56.422517612576485 s
Iteration 52: 56.969103656709194 s
Iteration 53: 57.12291240133345 s
Iteration 54: 57.83033699914813 s
Iteration 55: 57.75622881669551 s
Iteration 56: 57.904848898760974 s
Iteration 57: 58.48426307272166 s
Iteration 58: 58.39760993607342 s
Iteration 59: 59.151329059153795 s
