Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 33.4667175617069 s
Iteration 1: 40.723282733000815 s
Iteration 2: 41.06788939703256 s
Iteration 3: 41.84166299458593 s
Iteration 4: 42.29599232599139 s
Iteration 5: 42.366146959364414 s
Iteration 6: 42.54613550379872 s
Iteration 7: 42.867171028628945 s
Iteration 8: 43.363745000213385 s
Iteration 9: 43.85253559611738 s
Iteration 10: 44.00579576008022 s
Iteration 11: 44.17497873213142 s
Iteration 12: 45.899481429718435 s
Iteration 13: 44.88884904328734 s
Iteration 14: 45.081971284002066 s
Iteration 15: 45.98609379399568 s
Iteration 16: 46.20766701642424 s
Iteration 17: 46.538722983561456 s
Iteration 18: 46.6436194004491 s
Iteration 19: 46.91839236672968 s
Iteration 20: 47.71434063091874 s
Iteration 21: 47.50516013801098 s
Iteration 22: 48.24110131058842 s
Iteration 23: 48.33036814536899 s
Iteration 24: 48.96236275229603 s
Iteration 25: 48.79519276600331 s
Iteration 26: 49.00758811086416 s
Iteration 27: 49.72897730115801 s
Iteration 28: 49.82415398582816 s
Iteration 29: 50.45845536701381 s
Iteration 30: 50.56350761838257 s
Iteration 31: 51.646194372326136 s
Iteration 32: 51.20963389798999 s
Iteration 33: 52.48067668452859 s
Iteration 34: 52.1215597121045 s
Iteration 35: 52.14364471100271 s
Iteration 36: 53.4190784804523 s
Iteration 37: 52.86570392828435 s
Iteration 38: 53.08330254163593 s
Iteration 39: 53.35054106451571 s
Iteration 40: 53.86729827243835 s
Iteration 41: 54.449919576756656 s
Iteration 42: 54.56552610080689 s
Iteration 43: 54.82317635975778 s
Iteration 44: 56.109260115772486 s
Iteration 45: 55.42104445770383 s
Iteration 46: 55.95424727909267 s
Iteration 47: 56.379423001781106 s
Iteration 48: 56.562856731936336 s
Iteration 49: 56.74056794401258 s
Iteration 50: 58.33463702443987 s
Iteration 51: 57.98028976563364 s
Iteration 52: 57.82679004687816 s
Iteration 53: 58.58509656507522 s
Iteration 54: 58.5581533126533 s
Iteration 55: 59.15763464383781 s
Iteration 56: 59.35568707436323 s
Iteration 57: 59.29465039074421 s
Iteration 58: 60.14637515414506 s
Iteration 59: 60.18571334891021 s
