Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.63505937065929 s
Iteration 1: 41.68165698740631 s
Iteration 2: 42.13281025458127 s
Iteration 3: 42.455331433564425 s
Iteration 4: 42.61345260962844 s
Iteration 5: 42.799568177200854 s
Iteration 6: 43.084869330748916 s
Iteration 7: 43.50292655546218 s
Iteration 8: 44.06917798426002 s
Iteration 9: 44.38232240919024 s
Iteration 10: 44.44847549684346 s
Iteration 11: 44.81344118993729 s
Iteration 12: 45.223582511767745 s
Iteration 13: 45.51181162055582 s
Iteration 14: 46.110625797882676 s
Iteration 15: 46.35114988964051 s
Iteration 16: 46.557119191624224 s
Iteration 17: 46.85215633362532 s
Iteration 18: 47.51295218337327 s
Iteration 19: 47.78919623512775 s
Iteration 20: 47.810232168994844 s
Iteration 21: 48.482870624400675 s
Iteration 22: 48.542435923591256 s
Iteration 23: 48.82368280738592 s
Iteration 24: 49.34013965167105 s
Iteration 25: 49.46892969775945 s
Iteration 26: 49.97604552004486 s
Iteration 27: 50.38191033806652 s
Iteration 28: 50.69168946240097 s
Iteration 29: 50.83715719822794 s
Iteration 30: 51.222305552102625 s
Iteration 31: 51.44734035898 s
Iteration 32: 51.9805493876338 s
Iteration 33: 52.54217570926994 s
Iteration 34: 52.29270234238356 s
Iteration 35: 52.88178913202137 s
Iteration 36: 53.2788360863924 s
Iteration 37: 53.613360818475485 s
Iteration 38: 54.37649462558329 s
Iteration 39: 53.76287134177983 s
Iteration 40: 54.62575447000563 s
Iteration 41: 54.76664031483233 s
Iteration 42: 55.170681429095566 s
Iteration 43: 55.51068840268999 s
Iteration 44: 55.741477387957275 s
Iteration 45: 56.19301769416779 s
Iteration 46: 56.80315407272428 s
Iteration 47: 56.8601161679253 s
Iteration 48: 57.022065431810915 s
Iteration 49: 57.62238422315568 s
Iteration 50: 58.031509697437286 s
Iteration 51: 58.005037599243224 s
Iteration 52: 58.356977441348135 s
Iteration 53: 59.940673001110554 s
Iteration 54: 59.09825813677162 s
Iteration 55: 59.4503159718588 s
Iteration 56: 59.82162558287382 s
Iteration 57: 60.22272608522326 s
Iteration 58: 60.460798422805965 s
Iteration 59: 60.938553222455084 s
