Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.54173210822046 s
Iteration 1: 40.71731809526682 s
Iteration 2: 40.586411708034575 s
Iteration 3: 41.583504784852266 s
Iteration 4: 41.641772844828665 s
Iteration 5: 41.27738422434777 s
Iteration 6: 42.01236943434924 s
Iteration 7: 41.83789366390556 s
Iteration 8: 42.54019278567284 s
Iteration 9: 42.830942085944116 s
Iteration 10: 43.187128639779985 s
Iteration 11: 43.5173757346347 s
Iteration 12: 43.22359353583306 s
Iteration 13: 44.02870388049632 s
Iteration 14: 44.42518049199134 s
Iteration 15: 44.826650637201965 s
Iteration 16: 45.03221092000604 s
Iteration 17: 45.64098724722862 s
Iteration 18: 45.56622788589448 s
Iteration 19: 45.6319604665041 s
Iteration 20: 46.14501176960766 s
Iteration 21: 46.43256446160376 s
Iteration 22: 46.71908767428249 s
Iteration 23: 47.79162088409066 s
Iteration 24: 47.640946224331856 s
Iteration 25: 48.013753954321146 s
Iteration 26: 48.96789079532027 s
Iteration 27: 48.31648451182991 s
Iteration 28: 48.8422980196774 s
Iteration 29: 49.154395285993814 s
Iteration 30: 49.318950527347624 s
Iteration 31: 50.034580413252115 s
Iteration 32: 50.0741890380159 s
Iteration 33: 50.687255546450615 s
Iteration 34: 50.80948115605861 s
Iteration 35: 51.655626026913524 s
Iteration 36: 52.06859261542559 s
Iteration 37: 51.997295366600156 s
Iteration 38: 52.60002883989364 s
Iteration 39: 52.33458919450641 s
Iteration 40: 52.782736141234636 s
Iteration 41: 53.05363530665636 s
Iteration 42: 53.88057345710695 s
Iteration 43: 54.32474269811064 s
Iteration 44: 54.65393266454339 s
Iteration 45: 54.81530592869967 s
Iteration 46: 54.93206725735217 s
Iteration 47: 55.30687110312283 s
Iteration 48: 55.05082199629396 s
Iteration 49: 56.0178020587191 s
Iteration 50: 56.19381647091359 s
Iteration 51: 56.371056222356856 s
Iteration 52: 57.01081310492009 s
Iteration 53: 56.87514744140208 s
Iteration 54: 57.174768530763686 s
Iteration 55: 57.74544724449515 s
Iteration 56: 58.569663864560425 s
Iteration 57: 58.371626063250005 s
Iteration 58: 59.43699505366385 s
Iteration 59: 59.112164040096104 s
