Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.85662902984768 s
Iteration 1: 40.633336684666574 s
Iteration 2: 41.18361869268119 s
Iteration 3: 41.59941298048943 s
Iteration 4: 41.84914269205183 s
Iteration 5: 42.29357335809618 s
Iteration 6: 42.53033694624901 s
Iteration 7: 43.013102604076266 s
Iteration 8: 43.728953240439296 s
Iteration 9: 43.79032201413065 s
Iteration 10: 43.619030988775194 s
Iteration 11: 45.22050540428609 s
Iteration 12: 44.27821991685778 s
Iteration 13: 44.31758528575301 s
Iteration 14: 45.07750460226089 s
Iteration 15: 45.41281246673316 s
Iteration 16: 46.55085502192378 s
Iteration 17: 46.416770527139306 s
Iteration 18: 46.66319789271802 s
Iteration 19: 47.119591323658824 s
Iteration 20: 46.91544590052217 s
Iteration 21: 47.429629154503345 s
Iteration 22: 47.92348789423704 s
Iteration 23: 47.845039990730584 s
Iteration 24: 48.684932514093816 s
Iteration 25: 49.184115142561495 s
Iteration 26: 48.612630122341216 s
Iteration 27: 49.596384472213686 s
Iteration 28: 49.671034201048315 s
Iteration 29: 49.79413803387433 s
Iteration 30: 50.55231342185289 s
Iteration 31: 50.56824180949479 s
Iteration 32: 51.69268058985472 s
Iteration 33: 51.3723097583279 s
Iteration 34: 51.635290569625795 s
Iteration 35: 52.03634622506797 s
Iteration 36: 52.02220308966935 s
Iteration 37: 52.68046763073653 s
Iteration 38: 52.829530177637935 s
Iteration 39: 53.10497523564845 s
Iteration 40: 53.87026217672974 s
Iteration 41: 54.19163692276925 s
Iteration 42: 54.48564101103693 s
Iteration 43: 54.85499238781631 s
Iteration 44: 54.627683634869754 s
Iteration 45: 55.46377459913492 s
Iteration 46: 55.24420270230621 s
Iteration 47: 56.262715611606836 s
Iteration 48: 56.04448686633259 s
Iteration 49: 56.898768310435116 s
Iteration 50: 57.2787306047976 s
Iteration 51: 57.18048633355647 s
Iteration 52: 57.87601941637695 s
Iteration 53: 57.96733728982508 s
Iteration 54: 58.15626951120794 s
Iteration 55: 58.584477353841066 s
Iteration 56: 58.9603081420064 s
Iteration 57: 59.359312013722956 s
Iteration 58: 59.536584814079106 s
Iteration 59: 60.085020715370774 s
