Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.57512045279145 s
Iteration 1: 39.57150073163211 s
Iteration 2: 39.810180228203535 s
Iteration 3: 40.202299379743636 s
Iteration 4: 40.531447594985366 s
Iteration 5: 40.84173739980906 s
Iteration 6: 41.34568988904357 s
Iteration 7: 41.54859181679785 s
Iteration 8: 41.774568418972194 s
Iteration 9: 42.21994711551815 s
Iteration 10: 42.69758865330368 s
Iteration 11: 42.94155575148761 s
Iteration 12: 43.24437960051 s
Iteration 13: 43.51632686983794 s
Iteration 14: 43.871220326051116 s
Iteration 15: 44.1844066362828 s
Iteration 16: 44.4253072720021 s
Iteration 17: 45.04879253730178 s
Iteration 18: 45.021943224594 s
Iteration 19: 45.43385679740459 s
Iteration 20: 45.93145189806819 s
Iteration 21: 46.10672196932137 s
Iteration 22: 46.39461809955537 s
Iteration 23: 46.42523580510169 s
Iteration 24: 47.10924667771906 s
Iteration 25: 47.43884522654116 s
Iteration 26: 47.95930436253548 s
Iteration 27: 48.37694095633924 s
Iteration 28: 48.34875770844519 s
Iteration 29: 48.78772110491991 s
Iteration 30: 49.279957827180624 s
Iteration 31: 49.43207009602338 s
Iteration 32: 49.92048775963485 s
Iteration 33: 50.45848091505468 s
Iteration 34: 50.36750401649624 s
Iteration 35: 50.57155746500939 s
Iteration 36: 51.06957085058093 s
Iteration 37: 51.30977505259216 s
Iteration 38: 51.73515263386071 s
Iteration 39: 51.954038941301405 s
Iteration 40: 52.586018826812506 s
Iteration 41: 52.535041434690356 s
Iteration 42: 53.06590687483549 s
Iteration 43: 53.26815509609878 s
Iteration 44: 53.62077638320625 s
Iteration 45: 53.944070351310074 s
Iteration 46: 54.19077638350427 s
Iteration 47: 54.67621646821499 s
Iteration 48: 54.9546855064109 s
Iteration 49: 55.31576363090426 s
Iteration 50: 55.78582470025867 s
Iteration 51: 55.878237165510654 s
Iteration 52: 56.70865951664746 s
Iteration 53: 56.78696740698069 s
Iteration 54: 57.092374028638005 s
Iteration 55: 57.17287030443549 s
Iteration 56: 57.483799232169986 s
Iteration 57: 57.73868590593338 s
Iteration 58: 58.53685901965946 s
Iteration 59: 58.62170601077378 s
