Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.5535590602085 s
Iteration 1: 41.87815161328763 s
Iteration 2: 41.94402228668332 s
Iteration 3: 42.24697344005108 s
Iteration 4: 42.427145294845104 s
Iteration 5: 42.931081507354975 s
Iteration 6: 43.15697588771582 s
Iteration 7: 43.963631032034755 s
Iteration 8: 43.79650434292853 s
Iteration 9: 44.19726282451302 s
Iteration 10: 44.796291827224195 s
Iteration 11: 44.61150211468339 s
Iteration 12: 45.113090846687555 s
Iteration 13: 45.24909616820514 s
Iteration 14: 45.785367283038795 s
Iteration 15: 46.07425038330257 s
Iteration 16: 46.45581093989313 s
Iteration 17: 46.69465066306293 s
Iteration 18: 47.29807476233691 s
Iteration 19: 47.65320845134556 s
Iteration 20: 47.78748383373022 s
Iteration 21: 48.52446309197694 s
Iteration 22: 48.285068448632956 s
Iteration 23: 48.87121108174324 s
Iteration 24: 48.85294340830296 s
Iteration 25: 50.25255523901433 s
Iteration 26: 50.40556333679706 s
Iteration 27: 50.115842184983194 s
Iteration 28: 50.746925758197904 s
Iteration 29: 50.90810582693666 s
Iteration 30: 51.2319123307243 s
Iteration 31: 51.20487903337926 s
Iteration 32: 51.677912479266524 s
Iteration 33: 52.024753420613706 s
Iteration 34: 52.449980238452554 s
Iteration 35: 52.91301103960723 s
Iteration 36: 53.59546010103077 s
Iteration 37: 53.44637872092426 s
Iteration 38: 53.38129692990333 s
Iteration 39: 54.01196441426873 s
Iteration 40: 54.44241445418447 s
Iteration 41: 54.93335743993521 s
Iteration 42: 55.131553361192346 s
Iteration 43: 56.16167405247688 s
Iteration 44: 55.804299796931446 s
Iteration 45: 56.12120670918375 s
Iteration 46: 56.60805839765817 s
Iteration 47: 56.42562514450401 s
Iteration 48: 57.631522465497255 s
Iteration 49: 57.880180097185075 s
Iteration 50: 57.91703124716878 s
Iteration 51: 58.18847064767033 s
Iteration 52: 58.69554179068655 s
Iteration 53: 58.776367033831775 s
Iteration 54: 59.20894042868167 s
Iteration 55: 59.40307268407196 s
Iteration 56: 60.02819021046162 s
Iteration 57: 60.822615067474544 s
Iteration 58: 60.40256485529244 s
Iteration 59: 61.302084581926465 s
