Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.78841356933117 s
Iteration 1: 41.896382646635175 s
Iteration 2: 41.65088678058237 s
Iteration 3: 42.8483593435958 s
Iteration 4: 42.27781370189041 s
Iteration 5: 43.80930482503027 s
Iteration 6: 43.143350773490965 s
Iteration 7: 44.58015644270927 s
Iteration 8: 44.11299239099026 s
Iteration 9: 44.33846456743777 s
Iteration 10: 44.48697773646563 s
Iteration 11: 45.11037333216518 s
Iteration 12: 45.21344953216612 s
Iteration 13: 46.07416576705873 s
Iteration 14: 45.65770877059549 s
Iteration 15: 46.478395799174905 s
Iteration 16: 47.03929607477039 s
Iteration 17: 47.20677264779806 s
Iteration 18: 47.53345880098641 s
Iteration 19: 47.71378735266626 s
Iteration 20: 47.632211020216346 s
Iteration 21: 48.00510673597455 s
Iteration 22: 48.48289643321186 s
Iteration 23: 48.610750034451485 s
Iteration 24: 49.38155277725309 s
Iteration 25: 50.12066894862801 s
Iteration 26: 49.67389427404851 s
Iteration 27: 50.37443519383669 s
Iteration 28: 51.104020388796926 s
Iteration 29: 50.870352120138705 s
Iteration 30: 51.97836535889655 s
Iteration 31: 51.56781480833888 s
Iteration 32: 52.11723526194692 s
Iteration 33: 52.75255420431495 s
Iteration 34: 52.69311651401222 s
Iteration 35: 52.833943211473525 s
Iteration 36: 53.29476941097528 s
Iteration 37: 53.69578120112419 s
Iteration 38: 53.53008546028286 s
Iteration 39: 54.55592427588999 s
Iteration 40: 54.50624172668904 s
Iteration 41: 54.68140896130353 s
Iteration 42: 55.578857826069 s
Iteration 43: 55.884612835012376 s
Iteration 44: 55.93084684293717 s
Iteration 45: 55.91784216184169 s
Iteration 46: 56.137223022058606 s
Iteration 47: 56.26543043460697 s
Iteration 48: 56.82076377328485 s
Iteration 49: 56.74433702137321 s
Iteration 50: 58.67669445089996 s
Iteration 51: 58.135552044957876 s
Iteration 52: 58.226736896671355 s
Iteration 53: 58.63352203555405 s
Iteration 54: 59.09370230138302 s
Iteration 55: 59.434374161064625 s
Iteration 56: 59.30279244389385 s
Iteration 57: 60.600460649468005 s
Iteration 58: 62.81307216081768 s
Iteration 59: 60.612351971678436 s
