Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.67073852289468 s
Iteration 1: 40.27288448717445 s
Iteration 2: 40.4314597453922 s
Iteration 3: 41.117104230448604 s
Iteration 4: 41.201937993988395 s
Iteration 5: 41.59419128019363 s
Iteration 6: 41.76104556210339 s
Iteration 7: 42.472294103354216 s
Iteration 8: 42.927317696623504 s
Iteration 9: 42.74161003995687 s
Iteration 10: 43.24482141621411 s
Iteration 11: 43.98617404140532 s
Iteration 12: 43.86576506961137 s
Iteration 13: 44.45840286463499 s
Iteration 14: 44.76972140464932 s
Iteration 15: 45.17343373503536 s
Iteration 16: 45.25511084590107 s
Iteration 17: 45.55510607175529 s
Iteration 18: 46.51193367224187 s
Iteration 19: 46.45090297423303 s
Iteration 20: 46.45472942851484 s
Iteration 21: 47.945978599600494 s
Iteration 22: 47.70143973920494 s
Iteration 23: 47.69623038638383 s
Iteration 24: 47.87358377687633 s
Iteration 25: 48.393659265711904 s
Iteration 26: 49.03928047325462 s
Iteration 27: 49.03223791066557 s
Iteration 28: 49.24144739098847 s
Iteration 29: 49.84653123933822 s
Iteration 30: 50.01768247410655 s
Iteration 31: 50.55155461281538 s
Iteration 32: 50.66298699658364 s
Iteration 33: 51.02741358987987 s
Iteration 34: 51.019395655952394 s
Iteration 35: 51.847492693923414 s
Iteration 36: 51.984050639905035 s
Iteration 37: 52.35261266678572 s
Iteration 38: 52.743109500966966 s
Iteration 39: 53.68837295938283 s
Iteration 40: 53.162383328191936 s
Iteration 41: 53.50344526395202 s
Iteration 42: 54.11433023400605 s
Iteration 43: 54.223220746032894 s
Iteration 44: 54.65928937960416 s
Iteration 45: 54.991343066096306 s
Iteration 46: 55.29939932655543 s
Iteration 47: 56.55191119853407 s
Iteration 48: 56.010314140468836 s
Iteration 49: 56.28436273895204 s
Iteration 50: 57.08733594417572 s
Iteration 51: 56.75845703855157 s
Iteration 52: 57.1582946497947 s
Iteration 53: 57.73760437685996 s
Iteration 54: 58.25926201604307 s
Iteration 55: 58.199469128623605 s
Iteration 56: 58.43990397080779 s
Iteration 57: 58.94134443625808 s
Iteration 58: 59.71992266830057 s
Iteration 59: 59.55626515857875 s
