Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.78489676397294 s
Iteration 1: 40.39179996866733 s
Iteration 2: 40.45796143170446 s
Iteration 3: 40.89343529846519 s
Iteration 4: 41.6144811604172 s
Iteration 5: 41.67431874759495 s
Iteration 6: 41.77180732320994 s
Iteration 7: 41.93084871955216 s
Iteration 8: 42.39681754913181 s
Iteration 9: 42.963618458248675 s
Iteration 10: 42.88106151949614 s
Iteration 11: 43.442913837730885 s
Iteration 12: 44.09964871313423 s
Iteration 13: 43.88829214312136 s
Iteration 14: 44.35928127169609 s
Iteration 15: 44.99974709097296 s
Iteration 16: 44.88325983006507 s
Iteration 17: 45.34389451704919 s
Iteration 18: 46.21480398066342 s
Iteration 19: 46.0443739304319 s
Iteration 20: 46.10226374771446 s
Iteration 21: 46.52999753691256 s
Iteration 22: 47.15464754961431 s
Iteration 23: 47.22830381244421 s
Iteration 24: 47.53433938790113 s
Iteration 25: 47.924233151599765 s
Iteration 26: 48.29687782097608 s
Iteration 27: 48.50179937109351 s
Iteration 28: 48.75666428077966 s
Iteration 29: 49.25874891318381 s
Iteration 30: 49.60891619883478 s
Iteration 31: 49.80538196209818 s
Iteration 32: 50.46446481719613 s
Iteration 33: 51.01260986831039 s
Iteration 34: 51.08369102049619 s
Iteration 35: 51.090212549082935 s
Iteration 36: 51.810887198895216 s
Iteration 37: 52.310605918988585 s
Iteration 38: 52.32442616764456 s
Iteration 39: 53.132927283644676 s
Iteration 40: 53.320722258649766 s
Iteration 41: 53.58957220148295 s
Iteration 42: 53.70825057756156 s
Iteration 43: 54.727748192846775 s
Iteration 44: 54.32613716647029 s
Iteration 45: 55.74768798239529 s
Iteration 46: 55.01231888961047 s
Iteration 47: 55.61785423848778 s
Iteration 48: 55.51911859214306 s
Iteration 49: 55.97134159039706 s
Iteration 50: 56.43146896548569 s
Iteration 51: 56.74460531771183 s
Iteration 52: 56.84238755144179 s
Iteration 53: 57.367435332387686 s
Iteration 54: 57.937837458215654 s
Iteration 55: 57.92384362965822 s
Iteration 56: 58.578236017376184 s
Iteration 57: 58.540061669424176 s
Iteration 58: 59.908780253492296 s
Iteration 59: 59.148278353735805 s
