Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.812728725373745 s
Iteration 1: 40.11941197421402 s
Iteration 2: 38.450858069583774 s
Iteration 3: 38.63399839401245 s
Iteration 4: 39.006727307103574 s
Iteration 5: 39.645210560411215 s
Iteration 6: 39.90572326630354 s
Iteration 7: 40.035345072858036 s
Iteration 8: 40.49539882875979 s
Iteration 9: 42.68690615519881 s
Iteration 10: 43.24327748082578 s
Iteration 11: 41.48034232761711 s
Iteration 12: 41.58515070844442 s
Iteration 13: 42.354989181272686 s
Iteration 14: 42.143878913484514 s
Iteration 15: 42.530383141711354 s
Iteration 16: 42.90728983189911 s
Iteration 17: 43.24170902837068 s
Iteration 18: 43.95499177929014 s
Iteration 19: 44.053184140473604 s
Iteration 20: 44.43416209053248 s
Iteration 21: 44.65073650702834 s
Iteration 22: 45.150894509628415 s
Iteration 23: 45.3699288694188 s
Iteration 24: 45.40084590297192 s
Iteration 25: 46.03714143298566 s
Iteration 26: 46.11772405728698 s
Iteration 27: 47.251493683084846 s
Iteration 28: 47.222112781368196 s
Iteration 29: 47.08381074573845 s
Iteration 30: 47.33670873846859 s
Iteration 31: 48.27890810370445 s
Iteration 32: 48.3639099188149 s
Iteration 33: 48.44061618112028 s
Iteration 34: 48.92462701443583 s
Iteration 35: 49.3159137647599 s
Iteration 36: 50.09867200534791 s
Iteration 37: 49.811877253465354 s
Iteration 38: 50.379629949107766 s
Iteration 39: 50.504202760756016 s
Iteration 40: 50.89883227739483 s
Iteration 41: 51.47933780122548 s
Iteration 42: 51.73112631589174 s
Iteration 43: 52.02491400297731 s
Iteration 44: 52.3315056823194 s
Iteration 45: 52.970172844827175 s
Iteration 46: 53.23685240466148 s
Iteration 47: 53.53188416175544 s
Iteration 48: 53.60704036150128 s
Iteration 49: 53.90472061187029 s
Iteration 50: 54.42831567209214 s
Iteration 51: 55.32800431549549 s
Iteration 52: 55.08491488266736 s
Iteration 53: 55.34210627898574 s
Iteration 54: 55.4726053904742 s
Iteration 55: 55.60888712760061 s
Iteration 56: 56.49124821461737 s
Iteration 57: 56.702155597507954 s
Iteration 58: 57.31668419390917 s
Iteration 59: 57.044527063146234 s
